seat_id,store_name,url
A001,본관 푸드코트,https://dorivan2001.github.io/cafe/?seat=A001
A002,본관 푸드코트,https://dorivan2001.github.io/cafe/?seat=A002
A003,본관 푸드코트,https://dorivan2001.github.io/cafe/?seat=A003
A004,본관 푸드코트,https://dorivan2001.github.io/cafe/?seat=A004
A005,본관 푸드코트,https://dorivan2001.github.io/cafe/?seat=A005
B001,우리라운지,https://dorivan2001.github.io/cafe/?seat=B001
B002,우리라운지,https://dorivan2001.github.io/cafe/?seat=B002
B003,우리라운지,https://dorivan2001.github.io/cafe/?seat=B003
B004,우리라운지,https://dorivan2001.github.io/cafe/?seat=B004
B005,우리라운지,https://dorivan2001.github.io/cafe/?seat=B005
C001,암병원 델리,https://dorivan2001.github.io/cafe/?seat=C001
C002,암병원 델리,https://dorivan2001.github.io/cafe/?seat=C002
C003,암병원 델리,https://dorivan2001.github.io/cafe/?seat=C003
C004,암병원 델리,https://dorivan2001.github.io/cafe/?seat=C004
C005,암병원 델리,https://dorivan2001.github.io/cafe/?seat=C005
D001,종합관 카페,https://dorivan2001.github.io/cafe/?seat=D001
D002,종합관 카페,https://dorivan2001.github.io/cafe/?seat=D002
D003,종합관 카페,https://dorivan2001.github.io/cafe/?seat=D003
D004,종합관 카페,https://dorivan2001.github.io/cafe/?seat=D004
D005,종합관 카페,https://dorivan2001.github.io/cafe/?seat=D005
